date,ARDA,BRUC,CAMP,CORR,GOUN,KOND,MEAR,MTMA,NOON,REDB,BOKA,BROW,CASU,COOM,COYR,DULB,DUMB,FLAG,GUND,KWOB,LITT,MART,MIRI,MURA,NONA,PARK,QUEE,TAAN,TAAR,TOOL,WAGI,WALB,WARG,WEST,WHIN,WHIW,YEAL
7/01/1992,47.73154362,35.24137931,86.37661086,86.112,95.07304217,95.97695102,43.56278119,86.22508039,100.5104895,102.2925532,77.48932039,28.05529954,34.87138264,21.87473233,22.22808989,98.19895288,25.32050127,90.76,27.24254251,120.633995,35.17841727,42.24605678,33.2265861,118.8902276,158.3882353,22.94200307,52.53837497,146.5268966,113.30011,73.23720085,136.0074488,45.22126082,22.09741551,20.24296675,136.6393623,132.847619,20.21260583
23/01/1992,54.05369128,40.93103448,107.460436,87.864,110.7605422,96.40260554,53.11124744,89.35048232,115.1818182,117.2553191,NA,33.52073733,46.46623794,32.46466809,26.13464419,NA,28.01740422,107.300198,35.84388068,122.0297767,56.34532374,63.51629863,NA,NA,163.4235294,28.92003066,75.4098582,NA,NA,NA,149.292365,NA,25.32405567,24.45524297,159.0857614,152.9994398,22.77328316
24/02/1992,63.40268456,42.24137931,NA,86.72,104.4676205,98.45603157,53.87361963,NA,NA,26.93617021,105.7728155,42.02633311,81.97749196,50.48179872,26.84307116,126.0732984,29.06581231,95.01267327,50.42096459,122.8796526,80.63741007,107.3617245,104.7462236,135.4337349,159.8588235,34.68191109,66.38397479,154.5073103,113.390319,118.1853984,141.3724395,63.76266996,28.41351889,32.44245524,166.4612424,160.4733894,24.78927563
11/03/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.1124197,32.21741573,NA,35.36674009,105.659802,67.39336493,NA,NA,NA,128.3806647,147.7603748,NA,43.09146653,82.47805537,NA,NA,NA,153.3947858,NA,NA,50.62659847,NA,NA,NA
27/03/1992,29.89932886,42.96551724,67.75864145,86.832,19.49849398,92.24909182,62.92351738,64.93810289,112.3496503,33.88829787,NA,48.64121132,106.6720257,NA,33.06441948,NA,29.55501602,NA,48.29579035,NA,NA,NA,NA,131.2302544,161.6,NA,NA,NA,NA,NA,NA,NA,NA,26.67774936,NA,154.4778711,24.17309501
28/04/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.19544846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.79303857
14/05/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17/07/1992,24.2147651,27.31034483,45.18489521,43.968,19.21009036,56.70898841,NA,NA,48.37762238,26.63829787,22.6407767,28.35483871,22.96463023,18.17344754,20.7494382,32.44502618,20.60667857,27.24514851,18.4829894,45.34615385,32.17841727,19.84752892,23.19033233,32.73761714,30.67058824,18.79918242,23.47287869,32.44496552,39.74455446,31.77461375,29.2160149,34.62175525,20.76341948,19.12276215,28.65750412,32.62745098,15.61665099
18/08/1992,25.34899329,NA,NA,NA,NA,NA,21.07770961,NA,42.72027972,58.10638298,21.9184466,24.84200132,NA,NA,NA,33.72251309,NA,26.34851485,19.88569836,NA,32.57841727,18.63512093,19.74924471,34.9665328,32.83529412,20.81757793,22.990772,35.44496552,44.75643564,30.34080582,34.05027933,31.5105068,22.2445328,18.13043478,32.04068169,36.91092437,17.26199436
3/09/1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.78089888,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.24705882,NA,NA,NA,NA,NA,NA,NA,NA,19.48337596,NA,30.43809524,16.71072437
